"","STATE","CA","COND","MG","Sodium","ANC","CL","NH4","NO3","NTL","PTL"
"229","ID",288.1,52.5,93.3,150.8,488.7,10.2,0.4,0,141,88
"230","ID",186.4,36.11,28.8,131.9,336.2,8.5,0.2,0,54,4
"231","WA",253.9,59.25,203.6,105.5,561.7,16.1,0.5,2.1,33,18
"232","WA",392.2,86.75,221.6,218.7,518.7,19.5,0.6,4.3,133,34
"233","WA",33.2,9.194,17.8,30.7,26.1,12.7,0.4,2.1,89,1
"234","WA",479.9,98.99,376.3,175.7,938.1,19.2,0.4,7.1,150,47
"235","WA",1527.7,331.2,1867.7,276.6,3758.1,22,1.1,6.4,228,17
"236","WA",421.6,64.4,115.4,114.1,560.2,9.3,0.4,0,85,1
"237","WA",450.6,73.75,236.3,80.4,671.2,14.7,0.3,6.4,90,2
"238","WA",2783.9,409.9,1219.9,269.9,3787.6,39.5,0.3,2.9,86,51
"239","ID",181.6,44.83,87.6,99.8,400.5,13,0.4,0,128,9
"240","ID",65,14.16,16.6,45.8,114.9,3.1,0.3,0,76,1
"241","ID",1269.2,252.5,819.5,323.1,1044.6,29.3,0.4,0,78,23
"242","ID",698.1,107.3,308.6,120.7,1075.8,13,0.4,2.1,125,19.30125
"243","ID",2919.2,438.2,1348.3,501.5,3659.5,268,1.1,80,1340.625,6.56625
"244","ID",58.2,15.75,32.2,58.3,122.8,7.3,0.4,2.1,99.375,4.70875
"245","ID",1972.5,234,427.2,88.8,2375.4,34.7,0.9,2.9,178.75,25.3525
"246","ID",62.3,11.91,10.4,34.9,84,4.2,0.2,5,99,2
"247","ID",625.7,101.5,287.8,138.8,997,16.1,0.6,0,82.5,38.61875
"248","ID",505.5,63.4,42,79,564.3,7.1,0.5,5.7,94,2.214
"249","ID",1295.4,233.3,686.3,538.9,2279.8,133.1,1.5,33.6,766.875,112.66125
"250","ID",226.8,53.1,140.8,146,436,36.1,0.8,5,148.125,39.22625
"251","ID",3117.3,372.3,1030.8,79.7,3768.4,15.8,0.4,0,83.75,38.1975
"252","ID",235.5,55.33,60.8,253.7,508.3,7.9,0.4,0,65.625,48.91125
"253","ID",302,59.59,131.6,142.8,556.6,8.7,0.4,2.9,135.625,28.87125
"254","ID",257.5,54.64,125.8,140.6,518,8.7,0.5,0,150.625,32.24875
"255","ID",2908.2,363.9,848.6,172.7,3780.2,115.6,0.6,5,137.5,10.73
"256","ID",111.1,21.65,41,49.2,176.1,5.9,0.4,2.9,89.375,2.84375
"257","ID",153.6,29.36,18.9,119,279.4,6.8,0.5,2.1,121.25,21.35125
"258","ID",194.2,39.87,73.7,134.7,395.3,7.9,0.6,1.4,143.75,15.88375
"259","OR",495.1,124.9,427.7,330.4,1286.5,13.8,1.3,0,703,45
"260","OR",231.3,63.08,147,233.5,469.6,66.3,1.1,4.3,169,20
"261","OR",742.2,129.1,362,233.8,1279.7,20.3,0.4,2.1,85,48
"262","OR",138,34.53,59.7,121.4,293.7,7.3,0.4,0,78,9
"263","OR",365.6,139.7,423.8,438.5,1138.5,59,0.9,12.1,299,75
"264","OR",717.6,150.3,566.1,79.5,1473.8,22.6,0.3,0,140,34
"265","OR",400.7,129.9,223.7,681.7,1165.8,38.6,1,2.9,191,13
"266","WA",330.7,65.24,125.4,163.2,405.2,120.7,1.2,15,326,13
"267","WA",272.6,67.66,134.4,237.2,416.9,182.5,0.5,2.1,201,27
"268","WA",600.8,110.7,308.5,124.4,734.3,57.8,0.6,14.3,235,6
